content,score,label
verifikasi otp via sms ga pernah kekirim meski diulang bolak balik . perlu di upgrade aplikasinya,5,positif
Semoga Kita semua sehat selalu,5,positif
Layanan nya Mantap,5,positif
"jkn ni macam mana, udh diupdate pembaruan alamat ktp yg sesuai dgn ktp baru kok slalu gk sinkron yah-_-",1,positif
"Mudah mengoprasikan,Cepat Tanggapan nya, Ramah pelayanannya.",5,positif
"pelayanan kurang baik, tidak rekomendasi.",1,positif
Good,5,positif
kesuwen Otpne,1,negatif
lancar,4,positif
👍👍👍👍👍👍👍👍👍👍👍🥹🥹🥹,5,positif
ok,5,positif
baikkk,4,positif
sulit banget daftarnya kyc gak bisa terus,1,negatif
"Mau daftar gabisa mulu, kode otp nya ga pernah ke kirim, pas di refresh bilang jaringan nya offline, padahal sinyal nya udah bagus",1,positif
ok,5,positif
yang terbaik,5,positif
sangat satisfying,5,positif
membantu banget,5,positif
sangat baik,5,positif
aplikasi sampah,1,negatif
on proses.. moga lancar,5,positif
aplikasi hitut,1,negatif
mau input no hp aja susahhhhhhhhhbgt,1,negatif
good,5,positif
mudah,5,positif
Dengan ada JKN semuanya kebutuhan saya dalam berobat lancar.,5,positif
"Tolong dong min otp nya ga masuk masuk ,, mau daftar ga bisa bisa 😴",3,netral
goooooood,5,positif
lama banget verivikasi nomer telponnya,3,netral
sangat membantu,5,positif
verifikasi kode ga ke kirim kirim,1,negatif
"lemot aplikasi mu woy, tolong lah diperbaiki",1,negatif
sangat puas,5,positif
good,5,positif
sangat membantu dalam perihal pembuatan baru dan upgrade daya,5,positif
"mantappp sangat membantu, makasih!!!",5,positif
"aplikasinya bagus,tapi sayang obat kurang bagus.",4,positif
apk nya rusak atau gimana sih sudah daftar kok belum terdaftar peserta terus ngak ada call canternya lagi,1,positif
keren banget aplikasi ini tolong data2nya di rahasiakan,5,positif
otp susah,1,negatif
setiap bulan udh upgrade. tp selalu kalo mau pakek harus login dulu. minta kirim kode otp tp ngga dikirim. gaje,1,negatif
Semoga kedepannya dipermudah dalam hal berobat,5,positif
baik,5,positif
cuma mau daftar bolak balik trs,1,negatif
minta verifikasi nomer telpon tapi ga masuk kode verifikasi nya aneh,1,negatif
mau masuk juga susah banget udh vrevikasi masih aja gk bisa login ... udh abis pulsa 5000 tapi gk masuk2 aplikasi tolong dong di benerin,3,negatif
Tiba-tiba Akun Ke Logout sendiri. Pas pengen Login Kembali Kesalahan Terus. Offline. Padahal Data Seluler Aktif. Paket Data Ada. GIMANA SIH!!,2,negatif
mantap,5,positif
"Ini gimana sih aplikasinya, saya sudah bayar di awal bulan, akhir bulan ketarik lagi auto debitnya double dong bayarnya tolong dong segera di perbaiki, kalau gini jadi merugikan",1,positif
mantap,4,positif
"kirim kode OTP kaga masuk masuk, Klo mau kirim ulang tunggu 250 detik, udh 5 kali nunggu kaga masuk ini. gembel bngt berak sekebon lah",1,negatif
Sangat membantu,5,positif
Bagus,5,positif
mantap,5,positif
Pelayanan Loket nya judes bgd,1,positif
sangat membantu,5,positif
mantaf,5,positif
"please kode otp sms gak masuk, kek mana sih?",1,negatif
ya gitu dah,3,netral
"susah amat buat ganti faskes, ini yg pindah bayi, trus harus face recognition, d suruh senyum, nengok kanan kiri, yakalii gampaaaang, ada aplikasi tuh kan tujuannya buat mempermudah, lah ini malah ribet banget, benerin dong 😩😩",2,negatif
Yg bener aja kode otp ga ke kirim terus,1,negatif
Terimakasih Pemerintah Indonesia,5,positif
oke,5,positif
aplikasi gak jelas mau kirim otp lama,1,negatif
Ga Bisa merubah Data Istri yang menceraikan saya. Harusnya bisa di ganti dengan istri baru saya. Trus ga ada No. WA Help desk nya ga ada,2,negatif
"Aplikasi apa sih ini, Di buat emosi hanya dengan mendaftar doang di tunggu SMS nomor nya malah ga masuk masuk, kembali ke messege untuk cek SMS masuk apa belum, ehh kembali pencet aplikasi ini ulang mendaftar ribet banget mana verifikasi wajah nya harus gimana sih biar sesuai",1,negatif
jadi memudahakn,4,positif
sangat membantu,5,positif
Gercep bgt mantap,5,positif
"download aplikasi cepat, terima kasih dibantu petugas layanan RS.Triharsi. layanan bagus",5,positif
sangat membantu..,5,positif
Terimakasih. sangat membantu dalam pengurusan BPJS kesehatan yang tidak ada waktu mengurus secara offline. Namun mohon untuk diperbanyak layanan yg ada.,5,positif
aplikasi ga jelas mau daftar aja nunggu kode nya udah kek antri sembako lama nya ga ngotak gausah bikin program kalo ga jelas tolol,1,negatif
"buset dah, gua udh bolak balik apk ini buat masukin otp sms kgk ada"" gua udh coba dri bulan lalu sampe skrg kagak ada"" ini gmn cerita apknya trs kalau mau periksa hrs buka apk sedangkan verifikasinya aja kgk bisa bisa hadehh mohon tim jkn yang ganteng ganteng cantik cantik baik baik, ini di perbaiki lah bugnya masa bobrok bngt gini apknya sumpah susah njir gk habis pikir gua",1,negatif
mantaaaap betuuulll,5,positif
aplikasinya jelek,1,negatif
bagus skli dan bermanfaat buat masyarakat..,5,positif
bagus dan sangat membantu,5,positif
sangat bermanfaat,5,positif
mantap.. 👍,5,positif
ribet bgt mau gnti no HP j seribet ini.. gk di permudah.... susah udah datang ke BPJS nya juga masih ribet.... belum bisa gnti no HP... kerja nya apa sih.. aplikasi smpah..... .... hpus lah pusing jadinya.. udah ke BPJS maslah ny cuma sepele gnti no HP tpi ribet nya masllallh sampah ini aplikasi,2,negatif
baik,5,positif
"aplikasi sia-sia, mau daftar selalu stuck di verifikasi no.hp, sms gak pernah masuk gimana mau verifikasi",1,negatif
apaan ini tidak jelas sudah instal trus selesai. masa instal lagi . sudah 5 kali instal gaA muncul2 di menu . malah terus instal. aneh,1,negatif
memudahkan tidak perlu kekantor u/ ganti no hp,5,positif
bagus,5,positif
apk nya Bagus banget aku suka,5,positif
sangat mudah digunakan dan fasilitasnya lengkap 👍👍👍,5,positif
mantap,5,positif
sangat membantu sekali terimakasih,5,positif
nemuaskan,5,positif
"Tiap daftar kuota nyaa udh full trs, jelas jelas tulisannya masih adaa mna sering banget gabisa daftar kya gini tuh, mempersulit banget!",1,negatif
dengan aplikasi ini sangat membantu kelancatan tentang keterangan apa aja mengenai taspen,5,positif
sangat membantu ☺️,5,positif
error terus.. login susah,1,negatif
"terus guna nya nyuruh daftar online lewat JKN apaa kalo gaa bisa buat daftar, transaksi blm bisa di proses lah, pas coba lagi di bilang nomer antrian hanya boleh 1x ditanggal dan poli yg sama, lahh kitaa aja blm bisa daftar mau gunakan nomer antrian gmnaaa 🙃 Perdana mau Pake BPJS tapi syulitt",1,negatif
ok sangat mempermudah,5,positif
aplikasi gila,1,negatif
gangguan mulu... kalau blum siap jgan dipakai.. nyusahin,1,negatif
"dongok mempersusah aja ,yg buat magang bener",1,negatif
Pelayanan aplikasi ini semakin bagus,5,positif
"ulasan info riwayat pelayanan di kunci. tidak pernah sakit, tapi dipelayanan ada pernah sakit.",1,negatif
"sangat sangat membantu untuk lansia yang tidak bisa langsung ke kantor bpjs kesehatan, terimakasih",5,positif
oke,5,positif
good,5,positif
memudahkan dalam mencari informasi,5,positif
selesai,5,positif
aplikasi busuk... udah pencet berkali2 KODE OTP ga di kirim2,1,negatif
"jkn lama2 meresahkan masyarakat.. saya ini mau daftar antrian gak bisa, sulit sekali.. kalau semua harus pakek aplikasi, perbaikin dong jangan meresahkan sekali, otomatis saya ini daftar antrian melalui puskesmas langsung.. kalau semisal aplikasi ini tidak di perbaikin, saya lebih baik daftar antrian dipuskesmas saja, gak berguna aplikasi ini.. buang2 memori saja, sangat kecewa dan mempersulit masyarat..",1,negatif
"aplikasi sampah, bikin ribet kalo emg blm bisa digunakan dengan baik gausa bikin aplikasi beginian malah menyulitkan yg mau berobat, mau login aja ribet, diaplikasi disebutkan udah pernah daftar padahal blm pernah sama sekali dan layanan bpjs juga malah pake bot, hadehhh, kebanyakan makan gaji buta. padahal kesehatan yg utama disebuah negara tp layanannya aja begini, negara kocak.",1,negatif
sangat membantu peserta jkn,5,positif
jkn baik pelayananx cepat,5,positif
tabah lagi bintang nya,5,positif
lumayan bagus,5,positif
Pelayananya Sangat Baik. Pegawainya Ramah Sekali😊,5,positif
mantap nyoo,5,positif
"sangat membantu,",5,positif
aplikasi rusak !! kode otp gak ke kerim kirim udah di coba beberapa kali,1,negatif
❤❤❤,5,positif
"aplikasi gak jelas, sistem identifikasi gak bisa malah bikin tambah pusing",1,negatif
ini kenapa ngak bisa verifikasi wajah kayak nya laporan ke presiden Prabowo seru jugak ni kalau aplikasi dari kesehatan eror ni,1,negatif
pelayanan bagus,1,positif
oke,5,positif
bagus,5,positif
aplikasi eror tidak ada perbaikan / update yang lebih baik,1,positif
baik,5,positif
"Aplikasi ini harusnya jangan di tampilkan lagi di store manapun soalnya sudah tidak bisa di pakai lagi. note: buat teman-teman aplikasi ini jangan di instal karena sudah tidak bisa digunakan lagi. saran saya, langsung saja ke pandawa/cika, ketik saja bpjs kesehatan di pencarian Whats app, nanti nomor kontak bpjsnya akan muncul.",1,negatif
parah mobile jkn ia ga betul sistemnya .anak sy mau kontrol bis dioperasi ga bisa aja.... tiba 2 penuh padahal dah mau booking jauh2 hari. eh pemgaduan.ke RS suruh booking langsung by phone yang pake pulsa berbayar.ngakalin kita..,1,negatif
"Rekam wajah berulang², udah smpai nunggu kiriman OTP gak ada masuk². Gimana ini aplikasi'nya..?? Mau mempermudah apa mempersulit..?? Ahh.. entahlah.. 😑",1,positif
mau daftar ribet tidak ada perbaikan. katanya online tapi g bisa harus tetep offline gimana sih,1,negatif
"MAU DAFTAR ANTREAN SUSAH, PADAHAL JARINGAN BAGUS BUAT SOSMED LAINNYA BISA KOK BUAT DAFTAR GABISA, PERBAIKI LAGI SERVERNYA",1,negatif
simpel dan mudah,5,positif
"aplikasi tolol, mending kga usah buat aplikasi kalo gembel gini, SMS kaga masuk masuk blok, mending hapus aja aplikasinya gada guna developer nya",1,positif
mantap,5,positif
verifikasi nomor tapi kode OTP nya ga masuk2 sampe pulsa abis. sekarang buat daftar ke faskes harus pake mobile JKN tapi aplikasi nya aja ga guna dan menyulitkan tolong diperbaiki aplikasinya. susah bgt jd warga konoha.,1,negatif
"Orang sakit datang ke Paskes Tk 1 kemudian di rujukan ke RS Tapi di paskes Tk 1 tidak tdk di kasih obat/SKD walaupun pasien kesakitan kata Dr karena sdh di rujuk jd gak di kasih obat ....emang surat rujukan itu termasuk obat ya........? Keburu mati orang, karena blm tentu bisa berobat hari yg sama atau besoknya jg blm tentu dapat no antrian. Indonesia......Indonesia buat aturan selalu SUPER ANEH mottonya selalu: KALAU BISA DI Persulit KENAPA DI PERMUDAH",2,positif
aplikasinya susah digunakan untuk login dan untuk mendapakan kode OTP melalui SMS ga di kirim-kirim kode OTP nya,1,negatif
sangat bagus dan sangat membantu banget,5,positif
bagus sangat membantu,5,positif
Pelayanannya harus Lebih di tingkat kan lagi Yaa & Jangan Mempersulitkan Masyarakat nya Ramah Tamah Kesopan Santunan nya,5,positif
"cepat proses,sangat memuaskan",5,positif
sangat membantu,5,positif
kode otp kaga masuk masuk aneh dah,1,negatif
sangat membantu😊😍,5,positif
baik banget,5,positif
ribet susah gak jelas aplikasi ini,1,negatif
oke,5,positif
sangat bergunq,5,positif
terimakasih jkn,5,positif
sangat membantu saya,5,positif
blm bisa kasi ulasan lebih karna baru bisa pakai aplikasi JKN,5,positif
"aplikasi rusak, banyak yang korup ya? sedihnya , gabisa2 daftar aja susah",1,negatif
sangat membantu,5,positif
bagus,5,positif
sangat membantu,5,positif
Puas banget,5,positif
apk gajelas otp 1 abad,1,negatif
apk bikin habis waktu cuman nungguin kode otp gak di kirim2...💩,3,netral
"Aplikasi ini selalu logout sendirinya, padahal kita gak pernah logout",1,negatif
Aplikasinya Jelek Buangettttttttt.....Malah bagus yg lama...Mau masuk susah banget...Padahal data udah betul,1,negatif
Mantaaap....,5,positif
harus ada pulsa biar kode nomernya keluar,5,positif
mudah dan cepat,5,positif
"tolong di perbaiki lah masa minta kode otp nomor hp aja ga dikirim kodenya, udah dapet respon dari developer katanya jaringan hp harus stabil dan punya pulsa, lah ini udah minta kirim kode tanpa ada keterangan ""pulsa anda tidak mencukupi"" tapi ga kekirim juga loh, mohon maaf saya juga punya pulsa dan nomor aktif kalo ga aktif ga mungkin saya bisa masuk buat daftar. kalo emang ini aplikasi rusak bilang aja rusak dan sedang dalam perbaikan, dan mau sampai kapan di perbaiki aplikasinya?",1,positif
"dicoba di berbagai kartu, otp nggak masuk masuk, normal nggak sih ini aplikasi? baca komen ternyata hampir permasalahannya sama. hadehhh",1,negatif
"tiap kali masukkan nomer telp ga pernah muncul kode OTP nya, udah kucoba berbulan-bulan hasilnya noolll ttp ga bisa... terus saat konfir ke Pandawa bpjs respons nya njelimet banget. padahal udah ku upload foto yg pke ktp lah, foto ktpnya lah. mash tetep ga bisaa",1,negatif
mantap,5,positif
mantap,5,positif
sangat membantu,5,positif
Coba deh perbaiki lagi udah masukin nomor HP dengan benar tapi kode otp belum masuk apa ini susah dong mau daftar,1,negatif
saya berusaha merubah nama anak saya( melakukan perubahan data) melalui pandawa.. tpi tdk trubah d jkn.. ap kendalanya y?,4,positif
"OK, aplikasi mudah digunakan",5,positif
saya sangat puas,5,positif
mudah di akses,5,positif
"daftar akun harus verifikasi no hp, tapi kode Verifikasi nya gak masuk ke sms. bahkan email bisa mendapatkan kode lebih cepat. jadi pendaftaran akun tertunda. gblk bgt",1,positif
"mau daftar masuk aja kode verifikasi GK di kirim2,,gimana ini mau maju serba di buat susah semuanya....payahhhhhhhhhhhhhhjh",1,negatif
"kenapa pelayanan bpjs kayak gini, jelek sekali saya sudah daftar untuk cabut geraham bungsu, katanya nanti kalo waktu operasi manti di wa. dan sampai sekarang ga ada kabar padahal sudah 4 bulanan,tolong cepat di perbaiki donk pelayanan nya.",1,negatif
mudah di gunakan dan effisien soal waktu,5,positif
sangat cocok,5,positif
good,5,positif
ok,5,positif
good,5,positif
Mudah dan cepat,5,positif
"buruk amet,kalau aplikasi gak guna mendingan gak usah ada aplikasi .tau2 muncul gak sengaja kesenggol malah log out..pas mau login ribet.orang sakit malah dibikin makin stress sm aplikasi gak jelas begini buruk",1,negatif
trimakasih banyak gampang betul daftar asalkan jaringannya bagus pasti notifikasi nya masuk,5,positif
dipersulit sekali mau daftar nomor telpon sudah ada yang pakai terus padahal blom pernah daftar aplikasi mobile jkn... ribet bngt aplikasinya,1,negatif
apa ini aplikasi tidak membantu tidak bisa verifikasi udah coba 2 nomor dan 2 hp tetap tidak bisa,1,negatif
"minta tolong banget min kok bisa data saya berubah sendiri e-mail & no telfon nya,, mau ganti harus pake OTP malah ga masuk-masuk",1,positif
"aplikasi KONTL,,, mau daftar aja susah banget,, sudah cari tempat yang terang aja masih enggak bisa terverifikasi, gimana sih developernya ini, makan gaji buta ae ya",1,negatif
lemottyyyyyy,5,negatif
mantap,5,positif
"aplikasi gak guna gak bisa daftar antrian , gangguan server RS terus percuma nyuruh daftar online tapi gak bisa bisa setiap mau daftar antrian slalu tidak bisa",1,negatif
mantap,5,positif
musingken apl pemerintah mah weuh nu wejes rek daftar kontrol ge teu jeujeuh.. make RSM teu bener diarahken kana JKN.. geus kana JKN pas daftar nungguan otp na beuh.. saendeng endeng.. kalah akaran bool,1,negatif
alhamdulillah aplikasi mempermudah urusan pasien untuk berobat,5,positif
biasa aja ah,4,positif
"saya percuma daftar karena yg saya pilih itu faskesnya cuma puskesmas,sedangkan puskesmas gratis",5,positif
kode OTPnya tidak dikirim-kirim,1,negatif
SEJAUH INI AMAN.,5,positif
ribet!,1,negatif
selalu gagal daftar online,2,negatif
ok,5,positif
sangat membantu dan terbantu,5,positif
Sangat membantu atas pelayanan kesehatan,5,positif
yauda saya ganti ulasan. tolong untuk di perbaiki .. buat apk ini untuk bertujuan memudahkan bukan menyusahkan .. oke?,3,positif
good app,5,positif
"suka banget ,gak lemot",5,negatif
taiiiiii mau verifikasi no aja susah banget,1,negatif
Kasian yang android'a gak sesuai ketentuan ikut daftar k orang lain cuma di batasin 3 akun . padahal ngebantu bgt kalau org tua atw yg gak pnya hp mau ikut daftar k tetangga atw sodara dibatasin .. gmna solusi'a min . mau komplain jauh mesti k lokasi langsung . tlp 165 bpjs kesehatan gak bisa d akses terputus terus ..,1,positif
ajiib,5,positif
"hadeh kode otp nya gak masuk masuk padahal no nya udah bener, kalau bikin aplikasi dari pemerintah harus bagus dong.",1,positif
baik,5,positif
sangat sangat membantu dan mempermudah penggunaan 👍,5,positif
"gak jelas aplikasinya, udh masukin nomor telepon tapi kode otpnya gak muncul² gimana sih?",1,negatif
Untuk kirim kode verifikasi lama sekali butuh waktu 10 menit lebih padahal jaringan saya bagus,1,positif
sangat mudh di gunakan,5,positif
mantap,5,positif
cukup membantu,5,positif
sangan puas dengan pelayanannya,5,positif
"registrasi nya lambat, kode otp ga masuk masuk padahal udah cukup pulsa. payah",1,negatif
susah bener mau daftar. mentok sampe ke otp eror terus menerus tiap hari nyoba sampe capek,1,negatif
"Bro ini tuh aplikasi Rakyat dari pemerintah bo ya yang bagus,.... Tele 🙄Hidup korupsi..💪💪💪💪💪",1,positif
sangat membantu,5,positif
edit: sudah beres,4,positif
"Parah bgt, mau verifikasi kode otp kaga dikirim2. udh 20x ngulang ttp gak dikirim. alesannya gak bsa diproses. mau brobat skrg apa2 pake online, tpi aplikasi jknnya kaga dukung bgt. cpt perbaiki. maaf ya developer, saya dpt kode otp dri telegram, whatsapp dan apk lainnya gk perlu pake pulsa. knp jkn aneh bgt pnrima hrus sdiain plsa buat trm otp. dan no saya cma 1, gak ada yg lain.",1,negatif
mudah penggunaannya,5,positif
tolong bapak ibu aplikasinya di update jadi lebih baik misalnya 1 nomor bisa buat beberapa akun soalnya ngk semua org punya HP andorid kalau 1 nomor satu akun gimana org tua yg ngk punya HP mau daftar gimana🙏,1,positif
memudahkan,5,positif
terimakasih,5,positif
"nungguin kode OTP Ampe sejam ga nongol, aplikasi rusak, sistem buruk sinyal bagus tp ga masuk2",3,netral
ruwet,1,negatif
"Semoga semakin baik lagi, semakin mudah dan bermanfaat",5,positif
bagus,5,positif
"yang OTP nya ga ke kirim, kalian harus punya internet cepat, dan pulsa yang cukup (minimal 10.000)",5,positif
yang buat stress,1,negatif
Aplikasi ga berguna mau daftar aja kgk bisa² kode otp ga masuk² pdhal pulsa gua 50k.Niat ga si bikin aplikasi dasar tukang tipu,1,negatif
"alhamdulillah..gampang loginy,",4,positif
Aplikasi sampah NIK udah benar dibilang salah......,1,negatif
makasih sangat membantu🙏,5,positif
Bagus,5,positif
lumayan bagus,4,positif
top,5,positif
mantap,5,positif
aplikasi kuntul,1,negatif
Good...,5,positif
"mudah digunakan, jelas dan sangat membantu",5,positif
tingkatkan pak soalnya untuk kesehatan,5,positif
"hari ini saya sudah daptar.lebih dari 20x tidak beres"" maap aplikasinya kurang baik mohon di permudah. saya mau periksa anak saya kasian..",1,positif
bagus bgt,5,positif
aplikasi masa minta kode otp aja 2 hari gak nongol2 kodenya . . . . hedeh . . .,1,negatif
"cobalah pemerintah dipertimbangkan dan diperhatikan dan juga diperbaiki aplikasinya, kita mau berobat dipersulit dengan regulasi penggunaan aplikasi ini itu, giliran di daftar log-in sulit, OTP berhari-hari gak masuk ??? tolonglah kami masyarakat tidak mampu tapi selalu bayar pajak dll, lalu mengapa fasilitas kesehatan dipersulit??? kalau memang belum siap dengan aplikasi kembali saja ke manual",1,positif
"sangat membantu , puas sekli",5,positif
"Terimakasih BPJS, saya sangat mudah untuk akses dan mantap pelayanannya, overall mantap",5,positif
alhamdulillah,5,positif
aplikasi simple dan akurat,5,positif
"bagus, sampai saat ini tidak ada kendala",5,positif
apk kntl,1,negatif
ok,5,positif
berkali kali daftar ga bisa bisa gmn sih apk ini mengecewakan deh,1,negatif
"kesulitan pindah tempat lewat on line di urus d kantor lebih cepat, terimakasih",5,positif
bagus,5,positif
"apk pemerintah pasti jelek semua kocak , korupsi aja yg kuat",1,negatif
"Asu minta KODE OTP dari sms gak dikasih, lelet banget.",1,negatif
sangat membantu🙏🙏,5,positif
buat jengkel mau buat anterian ke poli gigi selalu koutanya Penuh kalau tidak penuh anterian blm tersediah,1,negatif
bagus,5,positif
"apk tolol mempersulit org sakit mau daftar aja susah ngga dpt""kode otp",1,negatif
pelayanan cepat dan mudah,5,positif
mantap,5,positif
"gimana to ini aplikasi nya. mau daftar kontrol lagi gak bisa. masih muncul daftar kontrol yg kmrn. dibatalkan gak bisa, dilanjutkan jg g bisa. mau daftar lagi gak bisa. Padahal wajib pake jkn mobile, tapi akses nya kok g update. Balik manual lagi. antre lagi...Tlg diperbaiki dong aplikasinya",1,positif
nggak bisa dipakai. otp sampai 4 hari tetap blm terima otp.,1,negatif
"aplikasi rusak eror mau daftar aja susah masalah di verifikasi di persulit dari wajah, no hp, email di persulit bagaimana rakyat nyaman jika pelayan di aplikasi nya saja di persulit",1,negatif
"kalo bikin apk tuh yang bener aja ,masa saya udah bayar 35k buat aktifin ,pas mau daftarin lagi malah gabisa terus relogin suruh bayar tagihan lagi ngelucu kali",1,negatif
bagus,5,positif
jossss Bagussss,5,positif
"minta kode otp tak pernah dikirim,padahalnomor aktif dan pulsa ada",1,negatif
semoga Amanah selalu melayani masyarakat,5,positif
mana SMS nya woi,1,negatif
susah bgt mau log in NIK selalu salah padahal sudah benar,1,negatif
sangat bagus pelayanan Mobile jkn tapi knp mobile JKN punya ku bikin komentar tdk bisa saya simpan komentar saya tolong tdk lanjutin lah mobile JKN aplikasi saya biar bisa terkirim komentar saya ke mobile JKN saya ini TDK bisa,5,positif
sangat membantu,5,positif
sangat ramah dan sopan,5,positif
bikin aplikasi niat ga sih? kode verifikasi otp sms ga muncul muncul,1,negatif
"Sangat Membantu, Terima Kasih",5,positif
ok,5,positif
Mantaaapp 👍👍👍 Cepat Tanggap dan Peduli.,5,positif
membantu,5,positif
OTPKU MANAAAAAAAAAAAAAAAA SUUUUU,1,negatif
baik-baik,5,positif
bagus,5,positif
Pelayanan ramah dan cepat,5,positif
baguusss,4,positif
lebih d tingkatkan lagi pelayanan nya,5,positif
sangat membantu mudah digunakan,5,positif
"layanan yang buruk , banyak persyaratan , akses yang ribet",1,negatif
"saya lupa pasword, untuk minta akses otp nya lama banget",2,negatif
indonesia,1,negatif
Aplikasinya mudah digunakan,5,positif
aplikasi nya bagus,5,positif
aplikasi pemerintah di perbaiki dong masalah kode verifikasinya lama bangett bikin susah 2 kali kirim belum muncul jga sama waktuu bisaa ngirim kode verifikasi di kurngin jangan nyusahin rakyat dong,1,negatif
perubahan data bisa dilakukan di aplikasi,5,positif
"tiba2 logout sendiri setelah update terbaru, verifikasi otp sampai kiamat ga bakal dikirim, sampai skrng ga bisa login lagi gara2 kode verifikasi ga dikirim2",1,negatif
membantu dan mempermudah proses,5,positif
ok,5,positif
aplikasi tolol buat pindah klinik pertama suruh identefikasi wajah tpi gk bisa,1,negatif
bagus sekali,5,positif
sangat baguuusss,5,positif
terimakasih Bagus,5,positif
bagus,5,positif
"Tidak mau terinstal, apakah ada kendala??",1,negatif
sangat memuaska,5,positif
otp gak bisa masuk Uda berkali kali coba tetap sama!,1,negatif
"good job, keren",5,positif
sulit slalu gagal,1,negatif
"Di update ko malah akun keluar sndri minta login ulang, kalau bisa jangan keluar Mulu akun minta login ulang Mulu soalnya tidak hafal nomor nik sndri.",2,negatif
baik sekali,5,positif
Ok,5,positif
kok gk mau masuk kode verivikasi nya,1,positif
"verifikasi otp diperbaiki, terlalu lama nunggu otp nya",2,positif
"bagus, mudah pemakaiannya, lebih ditingkatkan dan dipermudah lagi aplikasinya.",5,positif
pelayanan baik,5,positif
"sayang sekali hanya bisa digunakan utk 3 nik,sedangkan serumah 4 org yg mana suami kerja pulang seminggu sekali,jika perlu buka utk 2 org anak dan sy sendiri sering muncul tdk bisa login,selevel IT utk aplikasi nasional harusnya sdh bisa lebih fleksibel utk fitur layanannya.....tdk hanya terbatas utk 3 nik saja....",2,negatif
"verivikasi wajah selalu gagal, padahal sudah mengikuti intruksi.",2,negatif
"TAplikasi tdak bisa berguna. Selalu ada keterangan, belum dapat di proses",1,negatif
"aplikasi nya selalu gagal terus untuk daftar ambil nomer antrian untuk kontrol, sudah sulit di buat lebih sulit lagi",1,negatif
"kami sebagai penguna aplikasi jkn kecewa, karena pembaharuannya lama,",1,negatif
"Sistem sudah mulai diperbaiki Terimakasih Jkn tidak Mempersulit Untuk Daftar Aplikasi nya Mohon maaf atas kritik saran yg kurang sopan pada saya Dari beberapa bug "" dari aplikasi cepat untuk di perbaiki agar masyarakat tidak sulit mengakses aplikasi sekali lagi terimakasih",5,positif
sangat membantu sekali,5,positif
proses perubahan data yg mudah dan cepat,5,positif
apk gembel gk bisa2 daftar antri!!,1,negatif
ribet amaattt.. belum apa apa ga bisa di pke.. masukun otp aja ribettt,1,negatif
aplikasi gak bisa di gunakan kode prifikasi nya ga ada,1,negatif
"coba fitur scan wajah nya di perbarui lagi padahal udh ikutin aturan ny tpi susah bngt buat verifikasi nya, kalau ngga bisa di perbarui di hilangkan aja fitur scan wajah ny",1,negatif
bagus dan mantaap,5,positif
sangat membantu,5,positif
sangat membantu,5,positif
sangat mudah dipahami dan digunakan. 👍👍👍,5,positif
ini kenapa ya tiap mau masuk gak bisa terus .. susah banget mau di pake berobat tpi gk bisa login masalah trus pdahal jaringan bagus .. tolonglh di perbaiki lahi apk nya .,2,negatif
baik,5,positif
"Aplikasi menyulitkan, login perangkat di batasi, padahal niatnya baik mau mmebuatkan orang lain BPJS mandiri, tapi setelah login lebih dari 3 akun, maka tidak bisa lagi Asu",1,negatif
"Dari ulasan semua org yg saya baca kasus nya sama tidak ada balasan yg berisi kode otp dan admin m jkn pun balasnya cuma singkat pastingan jaringan bagus,dah tau bukan masalah di jaringan nya,dr aplikasinya aja yg ngga bisa bikin mana nunggu kirim ulg kode perifikasi nya 5 menit,mnding masukmh plislah bikin aplikasinya yg bener,buat mempermudah bukan mempersulit,hampir semua org kasih bintang 1,ya memang sangat mengecewakan,padahal yg rugi apk m jkn juga,bintang nya pada 1",1,negatif
sistem nya sangat lancar,5,positif
sangat membantu,5,positif
apk ga jelas gamau kirim kode OTP udah nyoba 10 kali ttp gabisaaaa,1,negatif
keren membantu,5,positif
"ok, tp agak ribet dlm perubahan data peserta",4,positif
Sejauh ini bagus,5,positif
sangat membantu,5,positif
"saya sudah punya akun tapi gabisa login, gimanasi. kok mempersulit. 😢👎👎👎👎",1,positif
mau pindah faskes pas klik provinsi aja ga bisa udah beberapa hari ini kirain gangguan sampe sekarang ga bisa,1,negatif
"pindah faskes cepat secara online, smoga pilih lebih dekat dan lebih baik",5,positif
"susahh masuk.. berkali kali login gagal terus.. yang NIK salah lah, Pasword salah lah.. padahal sdh benerr .. keselll jadinya tdk bisa berfungsi",1,negatif
"tolong atasi ya selalu muncul ""gagal terhubung ke server RS"" saat mau ambil antrean online tolong di atasi ini penting sekali",1,negatif
saya suka,5,positif
👍👍,5,positif
user friendly,5,positif
otp GK masuk masuk cemana nya kalian ini aku mau rubah faskes tertunda jdnya,1,negatif
bagus,5,positif
Perkembangan pelayanan terus membaik dan meningkat. Keren bangettt,5,positif
"tolong dong kalau emang niatnya mempermudah verifikasi no hp itu bisa dibuat pilihan ke email, masak no hp satu keluarga keterangannya sudah terdaftar semuaa... kacaauu emang",1,positif
nice,4,positif
"buat instal aja lemot banget setengah jam gak ke instal""",1,negatif
Ok banget,5,positif
good,5,positif
"mempermudah,terima kasih JKN",5,positif
selalu gagal dalam verifikasi wajah.. super aneh,1,negatif
kenapa data suami saya gak adaaa???? sedangkan saya ada... dulu sebelum di update ada kokkkk.. sekarang di update kokkk hilang.. TOLONG JANGAN DIBIKIN RIBET,1,negatif
